grupo,categoria,medida,valor
jn_genero,E,valor,108
jn_evento,I JUEGOS DEPORTIVOS NACIONALES DEL CICLO JUVENIL 2025,valor,2756
panorama,total,entrenadores_total,340
entrenadores_provincia,GUAYAS,valor,37
entrenadores_provincia,PICHINCHA,valor,29
entrenadores_provincia,IMBABURA,valor,28
entrenadores_provincia,COTOPAXI,valor,23
entrenadores_provincia,SANTO DOMINGO DE LOS TSÁCHILAS,valor,20
entrenadores_provincia,LOS RIOS,valor,20
entrenadores_provincia,TUNGURAHUA,valor,18
entrenadores_provincia,AZUAY,valor,18
entrenadores_provincia,ESMERALDAS,valor,15
entrenadores_provincia,CHIMBORAZO,valor,14
entrenadores_provincia,LOJA,valor,13
entrenadores_provincia,CAÑAR,valor,13
entrenadores_provincia,SANTA ELENA,valor,11
entrenadores_provincia,ORELLANA,valor,11
entrenadores_provincia,ZAMORA CHINCHIPE,valor,10
entrenadores_provincia,EL ORO,valor,9
entrenadores_provincia,CARCHI,valor,9
entrenadores_provincia,BOLIVAR,valor,8
entrenadores_provincia,MORONA SANTIAGO,valor,8
entrenadores_provincia,NAPO,valor,8
entrenadores_provincia,MANABI,valor,7
entrenadores_provincia,SUCUMBIOS,valor,5
entrenadores_provincia,Otros / protegido,valor,6
entrenadores_funcion,ENTRENADOR,valor,300
entrenadores_funcion,FISIOTERAPEUTA,valor,15
entrenadores_funcion,ASISTENTE,valor,12
entrenadores_funcion,MÉDICO,valor,8
entrenadores_funcion,Otros / protegido,valor,5
entrenadores_genero,M,valor,292
entrenadores_genero,F,valor,48
usuarios_serie_anio,2025,usuarios,455632
usuarios_serie_anio,2025,ingresos,262466
panorama,total,usuarios_deporte_total,455632
panorama,total,usuarios_deporte_ingresos_usd,262465
usuarios_provincia,ESMERALDAS,valor,180415
usuarios_provincia,IMBABURA,valor,57173
usuarios_provincia,PICHINCHA,valor,218044
usuarios_tipo_deporte,ALTO RENDIMIENTO,valor,67175
usuarios_tipo_deporte,FORMATIVO,valor,388457
